,CMP1,CMP2,CMP3,CMP4,CMP5,CMP6,CMP7,CMP8,CMP9,CMP10,CMP11,CMP12,CMP13,CMP14,CMP15,CMP16,CMP17,CMP18,CMP19,CMP20,CMP21,CMP22,CMP23,CMP24,CMP25,CMP26,CMP27,CMP28,CMP29,CMP30,CMP31,CMP32,CMP33,CMP34,CMP35,CMP36,CMP37,CMP38,CMP39,CMP40,CMP41,CMP42,CMP43,CMP44,CMP45,CMP46,CMP47,CMP48,CMP49,CMP50,CMP51,CMP52,CMP53,CMP54,CMP55,CMP56,CMP57,CMP58,CMP59,CMP60,CMP61,CMP62,CMP63,CMP64,CMP65,CMP66,CMP67,CMP68,CMP69,CMP70,CMP71,CMP72,CMP73,CMP74,CMP75,CMP76,CMP77,CMP78,CMP79,CMP80
H,-0.086113038,-0.192912467,-0.122583589,-0.175264136,-0.059337689,0.216906307,0.053392791,0.060179292,-0.009745016,0.026832472,0.06524747,-0.010561751,-0.013705759,0.056268196,0.024027177,0.030381651,0.126112906,-0.104410211,-0.128782883,-0.061606687,-0.32437176,0.055375126,0.647067442,0.076341037,0.103041838,0.036182464,-0.238687095,-0.028963603,0.074833425,-0.200282735,0.031039947,-0.15611679,-0.149595643,-0.194444802,-0.162145157,0.073285116,-0.037166757,0.083095978,0.055564285,-0.060980336,-0.033596531,0.000744361,-0.009527072,0.024129345,0.013280845,-0.018256465,0.003770641,-0.007765036,-0.01340455,-0.006499396,-0.015802349,-0.029510384,0.008927083,0.034550532,0.037497133,0.054235325,0.056098578,0.015192018,0.00771588,0.011802498,0.004966218,-0.008106043,-0.021304579,-0.019340186,-0.006746722,-0.004231308,-0.017733688,0.012859788,0.004475214,0.009025295,-0.002821359,0.004750096,0.005423281,-0.005397238,-0.010768638,-0.003641846,-0.001301545,-0.010340404,-0.001050369,0.002372834
Li,-0.192084319,-0.166234884,-0.378007152,-0.081559513,0.239178718,0.031944932,-0.076032301,-0.01292878,-0.088975855,0.006846875,-0.130131563,-0.007964938,0.012608237,0.13515535,0.029053517,-0.005428176,0.280397525,-0.137579543,-0.210713277,-0.342210274,0.229443749,-0.212107604,0.109424381,0.062012511,-0.022947238,-0.033384158,0.119640241,0.038315908,-0.151303234,0.025552599,-0.004318006,0.029627449,-0.001632173,-0.013149615,0.027515912,0.013935274,0.023722624,-0.043350456,-0.016165467,-0.016806726,-0.0410575,0.006165281,0.020685145,-0.090863124,-0.13936075,0.184321619,-0.234294066,-0.130495154,0.226324733,0.096895341,0.043742597,0.124750432,-0.068546481,-0.046772117,-0.024258856,0.02935864,-0.051563568,-0.025441883,0.002963859,-0.019622904,0.00636734,0.003500914,0.092502751,-0.148077781,-0.04316035,-0.003583052,-0.007334572,-0.019708266,-0.007645205,0.003684048,0.011569518,0.000545394,0.004329705,-0.003976743,0.00197611,0.001048807,0.00257333,-0.001195908,0.004374352,-0.004962028
Be,-0.151489454,-0.165373029,-0.019046656,0.03743921,-0.061438817,-0.099894158,0.137841856,0.062157069,-0.07122764,0.211508482,-0.015265015,-0.033878424,0.138067507,-0.052916377,-0.190192803,0.120799421,0.12427646,0.191588505,0.25040623,-0.190032929,-0.201027764,-0.157147127,-0.049181192,0.483461924,-0.360208163,0.118570962,0.03139576,-0.013303233,0.126093915,0.069507404,0.240967926,-0.121288056,0.084193144,0.019291624,-0.020687282,-0.070286611,0.106232437,0.078949836,0.064761921,0.099130138,0.050376247,-0.089835408,0.085763841,-0.024280295,0.136397357,0.018116509,0.027231028,-0.004695944,0.059592802,-0.012139924,0.009492001,-0.026937363,-0.043894743,0.017557318,0.018808136,0.040551743,-0.036047509,-0.011768258,-0.031778055,-0.028974948,-0.007059653,0.005510348,0.017385355,0.003643841,-0.019270403,0.018301371,-0.006153657,0.002297815,-0.018166357,-0.000624048,0.001168271,0.007472828,0.008661844,0.014216585,0.00411128,-0.006863448,0.003089356,-0.000234702,-0.015872763,-0.00272371
B,-0.165446066,-0.131364564,0.085996616,-0.081654188,-0.070698553,-0.041252211,-0.123214316,0.030285742,0.104570941,0.007286179,0.107772841,0.035858627,0.169254954,-0.021633083,0.043676621,-0.200593644,0.349013914,0.100815196,-0.026823275,0.158924887,-0.251982737,0.029595251,-0.087356935,0.182104935,0.327822925,-0.197094054,0.500737518,0.302264299,0.168094351,-0.079436117,-0.015324858,-0.012325493,-0.04774708,0.006998529,-0.082388783,-0.046470661,-0.003724703,-0.066852206,-0.025015454,-0.050060775,0.00830528,0.006558487,0.004904591,0.05559505,0.014230268,0.015947078,-0.057327816,-0.027743891,-0.037484003,0.000948465,-0.014101603,-0.014638063,0.002329275,-0.048426277,-0.009196873,-0.010894969,0.037147775,0.006010854,-0.020613334,0.013559898,-0.000485438,-0.007097113,-0.015328185,-0.011731558,0.012272448,0.011964689,0.035896077,-0.02059384,0.006038217,-0.014126364,0.002458589,0.007956906,0.01738624,-0.022873136,0.00063247,0.006990075,0.000844718,-0.015014275,-0.003207336,0.000782776
C,-0.07017446,-0.134457835,0.084400269,-0.053577849,-0.033386975,-0.034173499,-0.055991638,-0.087491024,-0.039874859,-0.10468224,0.153959494,0.131637332,0.064216956,0.025363201,-0.078664429,0.020380537,0.345899537,-0.027081949,-0.096596169,0.560924976,0.042702912,-0.295381037,0.072830095,-0.007702105,-0.127526077,-0.082467577,-0.192080275,0.126786883,-0.021926164,0.436970268,-0.070903412,-0.055046882,0.098356844,-0.094121333,0.049208826,0.096191367,-0.037496796,0.180893887,-0.006561304,-0.035364394,-0.067876853,-0.009059214,-0.017312647,-0.006743496,-0.013273838,0.004016429,-0.003698546,0.003511327,0.025088356,-0.025673273,-0.011720459,-0.020685526,0.002204029,-0.001766966,0.001610598,-0.021185268,-0.012148498,0.004580438,0.005727575,-0.006242436,0.005990348,0.004967414,0.005350546,0.004785088,-0.009575598,-0.008619757,-0.017404415,0.007035333,-0.002571382,0.012540243,-0.001407334,-0.004009592,-0.006818919,0.008173613,0.017655933,-0.001746838,0.000612793,8.60E-05,-0.001824501,-0.000207064
N,-0.114085718,-0.197199902,0.073980907,-0.129764837,-0.085464369,0.04257947,-0.076197115,-0.100593021,0.130578105,-0.121638733,-0.204101121,0.064284,0.00764287,-0.085976329,-0.123551202,-0.071800455,0.208079772,-0.006697877,0.002150913,0.452628504,0.24220726,-0.185560786,0.138950971,0.020029411,-0.187637396,0.090734316,0.042127894,-0.291892298,0.048421629,-0.377707272,0.031439159,-0.004923261,-0.121953888,0.213140531,0.022957989,-0.163797482,0.069552912,-0.211517952,0.053161316,0.045421043,0.041721986,0.020150014,0.008672023,0.022679554,-0.009440441,0.03228132,-0.006564384,-0.036173141,-0.057922181,0.011831267,0.021777508,0.013164627,-0.036695397,-0.007340391,0.026618254,0.026202595,0.03173024,-0.010151714,-0.00895252,0.01961426,0.012848095,0.005123986,-0.001585063,0.003950722,0.010579604,0.00465747,0.023443684,-0.021968576,0.00684477,-0.013465819,0.003626071,0.004438677,0.004011167,-0.001050035,-0.012234652,-0.002291562,-0.002020796,0.009643874,0.002696079,-0.002108992
O,-0.080756065,-0.132187489,0.015088464,-0.148165386,-0.093149308,0.101533133,0.071143426,-0.472274256,-0.064673429,0.120689227,0.016664099,0.065940014,0.11856818,-0.032081375,0.058947565,0.06990709,0.013134163,0.075602273,-0.042331982,-0.050660044,-0.009774462,0.079822895,0.006943964,0.112388872,0.086363598,-0.092003883,0.218945962,-0.559746568,0.109508228,0.212566603,-0.223303018,-0.056559588,0.026296743,-0.202141822,-0.003216071,0.062068642,-0.112867616,-0.070520756,-0.059054557,0.219980815,-0.047139914,0.035582587,-0.097787048,0.000652065,0.017982171,0.013693543,0.024350042,0.00162387,0.025343811,0.024500556,0.016483418,-0.024330985,0.028996719,0.007322024,-0.016507123,0.008412771,-0.011339298,-0.001456453,0.01862416,0.016500993,0.007013597,-0.00106261,0.012271568,0.006504214,0.003117847,-0.001813954,-0.004627346,0.011457346,-0.003056583,-0.003740407,0.008293046,0.007948579,0.010797769,-0.005203414,-0.094636289,-0.001678503,-0.006822185,0.010122576,0.005127757,-4.62E-05
F,-0.069732865,-0.140915924,-0.046795504,-0.262633787,-0.161178941,0.446975302,0.263381987,0.205848622,0.003481563,0.016710285,0.079436601,0.007010304,0.009902605,0.029860137,0.012066659,0.012789997,-0.013494663,-0.047518221,-0.004116369,-0.051354708,-0.138060484,0.027347511,0.223975995,0.055432809,0.151398488,0.04113705,-0.092694867,-0.013887444,0.121543876,0.251174088,-0.062400637,0.214467665,0.041916593,0.346206839,0.139182287,-0.141765085,0.107787478,-0.15696338,0.026407168,0.042310196,0.023218478,-0.002181089,0.020484098,-0.006877093,-0.022156142,-0.016824177,-0.005597916,0.037208277,0.017110707,-0.054040944,0.020369976,-0.010287514,0.024396927,-0.078351882,-0.114243702,-0.22056473,-0.160528678,-0.035279315,-0.030662932,-0.019191283,0.007695265,0.023110474,0.016120286,0.007310135,0.013662237,0.008173601,0.029557136,-0.024579868,-0.001801355,-0.015840136,0.006340999,0.009934269,0.008057666,0.001887794,0.009995853,0.023292526,-0.014790701,0.104579429,0.030374693,-0.004815502
Na,-0.122798295,-0.115177249,-0.469426519,-0.24694734,0.35102763,-0.01438538,-0.106424944,-0.004838976,0.014888265,0.003407524,-0.006318625,0.023604063,0.013637594,0.070417584,0.001314495,0.003392594,0.16769586,-0.10244457,-0.166431923,-0.204699179,0.17756252,-0.158173258,0.102912304,0.047511529,0.002975104,-0.024366842,0.146212371,0.015594933,-0.198187756,0.025327935,0.085037894,0.082065111,0.145011467,-0.054380025,0.013795658,-0.129380179,-0.013124659,-0.015628896,-0.030587611,-0.010880312,0.004160448,0.006615591,-0.008094169,0.110090291,0.04775735,-0.056379886,0.247008816,0.163769361,-0.109388794,-0.115935449,0.000133495,-0.059662601,0.031045913,0.022453219,0.01773942,0.006652142,0.031326104,0.009395891,-0.02554098,-0.011804576,-0.023147803,-0.044321796,-0.158669719,0.274605767,0.067453066,0.002871605,-0.003742109,-0.013361321,-0.008122021,-0.023134524,-0.070930489,0.018027071,-0.027061393,-0.007987981,-0.007183293,0.001497618,-0.022292183,0.006804285,-0.006399429,0.003866807
Mg,-0.259919017,-0.302674542,-0.182985541,0.098448284,-0.195372425,-0.19020629,0.179124048,0.109477126,-0.089473396,0.209577319,-0.109255511,-0.131998794,-0.057886037,-0.088584571,-0.164679407,0.175626811,0.069438807,0.098863348,0.062431848,-0.072800365,0.201019307,-0.14082861,-0.002597985,-0.069529098,0.131351381,-0.162525654,-0.071964402,0.061359837,0.040377141,0.039165934,-0.13207304,0.009548427,-0.202581345,0.022542665,-0.107175711,-0.003889772,-0.017788625,-0.045216965,0.046573924,0.038615441,0.040918188,0.101465732,0.019059899,-0.278389439,0.09955641,-0.246942404,-0.080398781,0.135760628,0.045857096,-0.017160269,0.152558062,-0.175063872,-0.045104203,-0.135629546,0.022407044,-0.005773558,0.145984916,0.08127207,-0.054659386,0.033137476,-0.075235307,-0.023365908,-0.058791673,-0.018582007,-0.02736526,0.025428038,0.006852448,-2.18E-05,0.019706412,-0.006497197,-0.006433215,-0.006104096,-0.007509539,0.007663262,-0.002280096,0.010619553,0.014862371,0.000352244,0.008395829,0.011683133
