,CRD1,CRD2,CRD3,CRD4,CRD5,CRD6,CRD7,CRD8,CRD9,CRD10,CRD11,CRD12,CRD13,CRD14,CRD15,CRD16,CRD17,CRD18,CRD19,CRD20,CRD21,CRD22,CRD23,CRD24,CRD25,CRD26,CRD27,CRD28,CRD29,CRD30,CRD31,CRD32,CRD33,CRD34,CRD35,CRD36,CRD37,CRD38,CRD39,CRD40,CRD41,CRD42,CRD43,CRD44,CRD45,CRD46,CRD47,CRD48,CRD49,CRD50,CRD51,CRD52,CRD53,CRD54,CRD55,CRD56,CRD57,CRD58,CRD59,CRD60,CRD61,CRD62,CRD63,CRD64,CRD65,CRD66,CRD67,CRD68,CRD69,CRD70,CRD71,CRD72,CRD73,CRD74,CRD75,CRD76,CRD77,CRD78,CRD79,CRD80
H,-0.059231356,-0.051292952,0.005909114,-0.133821729,-0.074106382,0.034547919,-0.112354093,-0.018084139,0.049117823,0.055431908,0.120156241,0.009898897,-0.123537825,0.003075644,0.078649823,-0.094192292,0.08613359,0.393784103,-0.221270976,-0.477979719,0.529655987,0.171880943,-0.169392121,0.124291119,-0.228620763,0.102920627,-0.113848362,-0.018357719,-0.050088559,0.008300939,-0.086669662,-0.012191695,2.01E-05,-0.0466332,0.003544424,0.030218838,0.064073917,0.075268856,0.03388517,-0.031478716,0.002644088,0.044658942,-0.000394606,0.027409321,-0.014934068,0.056237357,0.026856413,-0.013631676,0.038248345,-0.024842102,0.001318546,0.015147166,-0.00538092,0.001532272,-0.005088827,0.000852719,-0.013891173,-0.009373802,0.000931681,-0.011100509,-0.009281523,0.010009696,-0.008623137,-0.008736121,-0.002956173,-0.002611231,0.000853745,-0.000912033,-0.001502999,-0.002104642,0.004092319,-0.003622753,0.007575548,0.00067497,0.010121606,-1.51E-06,0.004685913,-0.000354142,0.00096896,0.00060636
Li,-0.33003886,-0.25885448,0.07876337,-0.031263478,0.122236277,-0.143541283,-0.190864276,0.124661625,-0.10497618,0.111099183,0.232204646,0.181898476,-0.111486392,0.066492126,0.02316314,-0.187837092,0.021333026,0.024946103,0.058885969,-0.245201632,-0.157285203,0.061370646,0.01591687,0.048894016,-0.071370865,-0.360872472,0.085635677,-0.026362746,-0.018978014,-0.066981562,-0.029331745,0.047224248,0.092745786,0.163630175,0.056293634,-0.065441258,-0.074576077,-0.14130466,0.025990359,-0.094671757,0.011166707,-0.056579738,0.172967718,-0.058501135,0.046169504,-0.116584626,-0.132789357,0.155062883,-0.101743727,-0.080221291,0.130921512,-0.164909328,-0.003822742,-0.066743377,-0.077363907,0.046388091,0.16473152,0.145344435,0.038688781,-0.065816698,0.074217084,-0.062680877,-0.054429391,0.02129198,-0.006949718,0.02479084,0.026727893,0.004555155,0.038308874,0.018965178,-0.020205837,0.023294075,-0.041701589,-0.017126622,-9.62E-05,-0.013654966,-0.001071296,0.009662087,0.001274946,-0.001272935
Be,-0.129931316,-0.224965175,0.059263056,-0.04436677,0.016511241,-0.19212116,0.01486828,-0.008750271,0.044278978,0.089039692,0.412423865,-0.071174079,-0.077259223,0.12542766,0.228248594,-0.064896252,-0.15448463,0.006164208,-0.191292559,-0.020847896,0.149362309,-0.090163278,0.042860748,-0.233628644,0.162151686,-0.075882215,0.30489762,0.335965096,0.230749876,0.125669207,0.182402973,-0.237655917,-0.045000555,-0.088707302,-0.002531063,-0.097661043,0.014890168,-0.085163502,0.038190439,0.146928912,-0.076532809,0.031634364,-0.027633404,-0.016824495,-0.07955423,0.028450657,0.077470101,0.020160515,-0.024809755,0.049578329,0.006919231,0.023719227,-0.015868386,0.015896739,-0.033780633,0.008334742,0.013675128,-0.046226742,-0.012954193,-0.014525641,-0.016071651,-0.00608217,0.027799486,-0.009485315,-0.021254541,0.015879581,-0.007670453,0.011367417,-0.000389625,0.006472028,0.012262883,0.010603768,0.001039413,0.003625564,-0.002674673,0.006051263,-0.00659997,0.003777308,-0.006244498,-0.001642521
B,-0.047872035,-0.11193169,0.048203841,-0.074952882,-0.014555081,-0.0783406,0.203524193,-0.070535999,0.078809966,0.118039011,0.175151056,0.112755952,-0.04864929,0.063832768,0.258267144,0.136057615,-0.00458312,-0.463405585,0.054542481,-0.214658151,0.201206851,-0.161099157,-0.126567148,0.381987685,0.428134702,-0.009002578,-0.168231755,-0.091860883,-0.012484798,-0.174017009,0.054678158,0.060363515,-0.100824261,-0.000686384,0.046988861,-0.001415504,-0.008678285,0.038344828,0.010905298,-0.005392408,0.010040132,-0.018142298,-0.028807527,0.003306956,0.025098676,-0.01707162,0.018603698,0.005193276,-0.000677846,0.01394694,0.013094577,-0.010104765,-0.024978976,0.011681447,-0.015541031,-0.010360298,0.015850796,-0.009531618,-0.00375988,0.027866246,-0.016286533,0.00447453,-0.005672924,0.001727563,-0.00179538,-0.003427744,-0.001134143,-0.001021754,0.000336188,0.004482171,-0.012774498,0.00325556,0.005438703,0.000320597,0.000242652,-0.001370312,0.000430558,-0.002273101,-0.00020827,-0.002168443
C,-0.040174625,-0.111527896,0.090044986,-0.094199669,-0.041995108,0.010001886,0.209253,0.035246504,0.063068068,0.107306216,0.107763713,0.111755998,-0.163951953,0.123822075,0.156403181,0.572806785,-0.091595341,-0.23277516,-0.089113658,-0.201328927,-0.190804713,0.029639946,-0.099529181,-0.181117203,-0.181337057,0.080589895,-0.026670951,-0.078696887,-0.081012531,0.333722032,-0.2289769,-0.084305495,0.209985126,0.044761757,-0.078543788,0.042903928,0.009115605,-0.037154135,-0.005951599,0.004154007,-0.02320359,0.014338458,0.069640713,0.063023922,0.007719669,0.010570145,0.00835706,-0.030280581,0.025793894,-0.00017585,0.005150592,0.022036711,0.00244311,0.011720267,0.023298289,-0.001480608,-0.018456062,0.014634448,0.022528335,-0.019873173,0.022701038,-0.037523671,-0.022056631,0.027384268,0.002768084,-0.000350065,0.001098722,0.000690258,-0.001044214,0.000478017,-0.000323646,0.002309026,-0.004318893,-0.000423454,0.000446003,-0.000725998,-0.005407987,0.000701059,0.000333209,-0.002052772
N,-0.042817614,-0.102014889,0.118923222,-0.185038742,-0.149053164,-0.019907891,0.233443467,0.099226777,0.030671555,0.059354745,0.096988698,0.178187211,-0.119077911,0.082242849,0.143909907,0.492416774,0.04335553,0.267844645,-0.03171219,0.097248557,-0.154273374,0.266676893,0.068779936,-0.002211597,-0.150749327,0.017574814,0.024735052,0.005080117,0.096065775,-0.338700344,0.218991646,0.119300505,-0.176952869,-0.075357619,0.092304725,-0.066235098,-0.001946633,0.032186791,0.006477377,-0.030484007,0.040191867,-0.061171054,-0.127107225,-0.211518963,0.011643538,-0.055627679,0.02668335,0.04264812,-0.023609112,-0.013814369,0.00742172,0.021718953,-0.008578277,-0.031142842,-0.014250548,-0.014900183,0.011957435,-0.027032749,-0.005033898,0.016718836,-0.01353373,0.020376483,0.00392437,-0.009370896,-0.000834682,-0.004196342,-0.002611539,-0.002775537,0.003130413,0.008822053,-0.019742893,-1.59E-05,0.001389695,0.000673145,-0.000179513,0.000471296,-0.008100467,-0.001048276,-0.000871914,0.00111593
O,-0.01887608,-0.064351322,0.167656068,-0.269917009,-0.321674652,0.045434216,0.054142512,0.242827501,-0.087952911,-0.089499569,0.057109895,-0.061394014,0.012352442,-0.029903379,0.087688681,0.160236791,0.155405101,0.291611653,0.055250692,0.149534854,-0.037346774,0.274502896,0.200208102,0.213950578,0.343945595,-0.086909283,0.024834326,-0.003949297,0.023813256,0.067118819,-0.057356272,-0.04630708,-0.001683063,0.028761135,-0.044066072,0.015968054,0.009251289,-0.026497831,-0.009535685,0.021549611,-0.057731645,0.116236775,0.24522207,0.356104968,-0.045052327,0.091445274,-0.057021317,-0.061455473,0.028187599,0.023086421,0.007721931,-0.009703044,0.019366739,0.017592875,0.005155502,0.017961736,0.002076044,0.000316975,0.003151822,-0.007902559,0.010889021,-0.020283616,0.024056226,0.036453136,0.005495242,0.002445052,-0.003193135,-0.001253679,-0.001622504,0.003756797,-0.00499951,-0.000374234,-0.011189239,0.001768202,0.060612012,0.000452229,0.03483606,0.001942404,0.000282869,0.000929298
F,-0.019196771,-0.059897939,0.185710359,-0.337885986,-0.430698394,0.127865168,-0.30053479,-0.187124233,0.054216274,0.011421618,0.000585058,-0.012923726,0.004390837,-0.022552969,0.002681323,0.002096936,0.054454909,0.070865497,0.059076911,0.056633129,-0.043152778,0.057339693,0.081437614,0.112279396,0.1863433,-0.048610645,-0.0205422,-0.003964908,0.007921841,0.188204905,-0.124359109,-0.081604672,0.038183378,0.095939269,-0.148511895,0.023084945,0.338300252,-0.10299359,0.110045106,-0.051612636,0.042207362,-0.084686836,-0.18991505,-0.240313104,0.014958208,-0.061393227,0.039192618,0.033663263,-0.023611684,0.001375928,0.000427247,0.002983299,-0.01229385,-0.010205611,0.017765129,-0.002251266,0.006543719,0.028493921,0.007835068,0.016146837,-0.029924739,0.056644617,-0.161150718,-0.215436488,-0.033575331,0.005608234,0.012752393,0.004894222,0.00097921,-0.004115265,-0.003820343,-0.002167207,0.002464241,0.004994836,0.000466322,0.000353319,-0.139531175,-0.003401235,-0.000164593,-0.00168095
Na,-0.44127511,-0.146729231,-0.264887284,-0.264991553,0.116360657,-0.048098157,-0.047994419,0.068904191,0.021717427,0.110122159,0.055721691,0.041328352,-0.036402454,-0.075226403,-0.048694991,-0.030338274,-0.0490904,-0.029977598,0.057467689,-0.07578508,-0.103430819,-0.017362561,0.058769065,0.04113431,-0.004324758,-0.301135257,0.101370159,0.038721569,-0.127846798,0.05503945,0.053925951,0.262786897,0.1279291,-0.088067015,0.009859278,0.079820786,0.145462462,0.286406148,-0.03321288,0.047249206,-0.039824618,0.135013662,0.038676239,-0.119781393,-0.165046821,0.073796009,-0.017815197,-0.044858084,0.15533354,0.105413119,0.070730702,0.158537775,-0.064769567,-0.008611898,-0.036488784,-0.134816598,-0.071649079,-0.083805812,-0.136753255,-0.070728741,0.040232498,0.006341091,0.003965195,-0.023104196,0.010888825,0.06273078,0.009330286,0.003008156,0.024584833,0.005600867,0.000735582,-0.156381136,0.051368798,0.028856456,0.013193721,0.019211828,0.00820626,-0.013930246,-0.018512594,0.03979197
Mg,-0.343304249,-0.209064347,0.103020982,0.043452619,0.06194548,-0.287408076,-0.227253043,0.104793638,-0.161358571,0.163197652,0.154316886,0.011802882,-0.248262167,0.083372747,-0.056569569,-0.12964701,0.1440872,0.078388423,0.205364496,-0.199063894,-0.222248035,-0.006955219,-0.034930157,0.008467014,0.016791398,0.018842413,-0.002897973,-0.050295106,-0.024786442,0.009296855,0.045626729,0.04439594,0.0258802,-0.045796376,0.017465696,-0.049032003,-0.052038107,-0.154391735,-0.04057394,-0.012146715,-0.066628091,-0.105629927,-0.1159416,0.10306707,0.122007867,0.012712633,-0.039216309,-0.004068614,-0.031967838,0.082159534,-0.045385508,0.171089733,0.042848698,0.175846149,0.267001107,-0.026514056,-0.200675056,-0.088099465,-0.027073169,0.158735885,-0.075465163,0.118427808,0.077821808,-0.02076283,-0.037880554,-0.073222037,-0.028784322,-0.003269698,-0.016099975,-0.034541748,-0.014737002,0.015870929,0.011905551,0.006132508,4.34E-05,0.010750524,0.001507065,-0.007635351,-0.015964342,-0.003151172
