,TPL1,TPL2,TPL3,TPL4,TPL5,TPL6,TPL7,TPL8,TPL9,TPL10,TPL11,TPL12,TPL13,TPL14,TPL15,TPL16,TPL17,TPL18,TPL19,TPL20,TPL21,TPL22,TPL23,TPL24,TPL25,TPL26,TPL27,TPL28,TPL29,TPL30,TPL31,TPL32,TPL33,TPL34,TPL35,TPL36,TPL37,TPL38,TPL39,TPL40,TPL41,TPL42,TPL43,TPL44,TPL45,TPL46,TPL47,TPL48,TPL49,TPL50,TPL51,TPL52,TPL53,TPL54,TPL55,TPL56,TPL57,TPL58,TPL59,TPL60,TPL61,TPL62,TPL63,TPL64,TPL65,TPL66,TPL67,TPL68,TPL69,TPL70,TPL71,TPL72,TPL73,TPL74,TPL75,TPL76,TPL77,TPL78,TPL79,TPL80
H,-0.118936275,0.093197509,0.133879589,0.049248014,-0.024432396,0.319500237,-0.022427983,0.18691012,-0.173274043,-0.171363325,0.118840401,-0.080048413,-0.474196449,0.207205258,0.25824282,-0.37045776,0.281800829,-0.105545026,-0.256099015,0.203347041,-0.061415391,0.121257505,0.03045289,0.005030678,-0.037646203,-0.036001909,-0.049561292,0.089336115,-0.106219071,0.04524186,0.0065091,0.0226277,-0.046439766,0.006065782,-0.045742078,0.013062951,-0.029599903,-0.016782861,-0.010792123,-0.006146314,-0.001417355,0.04552502,-0.020030269,-0.005728817,0.009539558,0.004125146,-0.019829371,-0.01586298,-0.023663664,0.011884347,0.026478693,0.022854089,-0.002417256,-0.032352508,0.022427444,0.021405982,0.013953717,-0.005675336,0.022155605,-0.027597098,-0.0189373,-0.004481517,-0.029786228,-0.036875604,0.029364714,0.010738705,-0.013135229,-0.062221069,-0.014355749,0.010036852,0.016831727,0.004887218,0.011814289,0.013942357,0.000902737,0.003084198,-0.005196015,0.004285378,-0.002813638,0.001347529
Li,-0.546502891,0.23958073,-0.019664866,0.116761539,-0.067837054,-0.137795435,-0.095006982,0.149341515,0.033751083,-0.034253493,0.004647458,0.028495032,-0.058829449,-0.000585032,-0.090256286,0.129848315,-0.079399957,0.049344884,-0.042874015,0.006860287,-0.025050554,0.067802376,0.236634176,-0.024565299,-0.276415581,0.124240728,-0.091733164,0.231185566,0.234202575,0.07537442,0.233741993,0.019397323,0.003408816,0.032336419,-0.013707051,0.186846147,0.034370373,0.20583293,0.103774646,-0.009215866,-0.043790201,-0.006737864,-0.042700598,-0.113654354,0.105062232,0.114330966,0.057105386,-0.016443294,-0.017632773,0.096441411,-0.06404466,0.107957635,-0.057518627,-0.064413443,-0.004871287,0.09477144,0.052530449,-0.039962426,0.020105454,-0.008249735,-0.024417818,-0.085008468,0.040921987,-0.002782379,0.041026523,-0.000882756,-0.071637,-0.021181729,-0.03522757,0.008128992,0.001252515,0.035109707,-0.007692232,0.012539099,-0.017511091,0.004474699,0.010744491,-0.010077309,-0.006816248,-0.002556175
Be,-0.420248015,0.284362304,0.045328885,-0.025274166,-0.023972092,0.020250091,0.039491251,0.179784994,-0.105219417,-0.436123387,-0.001896813,0.063831363,-0.178119622,-0.087023682,-0.08896554,0.219585841,-0.123228195,0.133406422,0.129294247,-0.049281141,-0.092917542,0.037636373,0.016448171,0.039194871,0.020612767,0.10678428,0.016611006,-0.046351466,-0.158159339,0.264461709,-0.144305097,0.11856524,-0.117861209,-0.137139711,0.003812615,-0.092276353,-0.031982465,-0.033535434,-0.164852456,0.168887359,0.042898612,-0.016095278,-0.09960895,0.012363812,-0.083896799,-0.005892219,0.104063547,-0.045382649,0.061326915,0.013897908,-0.05392916,0.120291004,0.073492771,-0.112805874,0.000679444,0.076897157,0.03242414,0.024931168,0.018797959,-0.039316452,-0.017460492,0.023745983,-0.005056096,-0.05399248,-0.016583918,0.001650198,0.025830764,0.068732969,0.019284274,-0.025055403,-0.021012362,0.008678552,-0.047029335,0.046397435,-0.001060134,0.010973187,0.002581205,-0.021020683,0.004386125,-0.002479718
B,-0.333651997,0.351842937,0.220947329,-0.306492207,0.018497508,-0.139101334,0.119948133,-0.081822054,-0.130609214,-0.140925662,-0.035490542,0.053170914,-0.246060351,-0.054342802,0.066898477,0.063394577,-0.007904867,0.095914843,0.327245403,-0.004355819,-0.094421348,0.120129403,-0.159656045,0.059585536,0.027062013,-0.002003675,0.039652379,0.174835369,0.003159237,-0.134118408,0.001050077,0.065013721,0.047417767,-0.057356462,-0.180088452,0.085982172,0.053220009,-0.02190857,0.014268825,-0.080526707,-0.156220917,0.024789499,0.098417021,-0.109519668,0.134711827,-0.032998668,-0.14719894,0.088414956,0.001103516,0.072044386,0.047738578,-0.011469599,0.132730533,0.114278178,-0.139166092,-0.141978451,0.008788279,-0.002564761,0.010315527,0.017656526,0.004558533,0.008810633,-0.023211778,0.01739688,-0.076378522,-0.019730253,-0.015045744,-0.037982922,0.001585198,0.004568375,-0.039385158,0.02234933,-0.037814441,0.044203107,-0.031753775,-0.000612778,-0.006472193,-0.007941966,-0.00143051,-0.000174348
C,-0.28653035,0.25158888,0.351984064,-0.188571318,-0.061375448,0.134124942,0.038375411,-0.090460295,-0.074862203,0.139934247,-0.025085843,0.122299754,-0.210670224,0.029022737,-0.224277049,-0.083613788,0.096391536,0.206276594,0.376155576,0.217939973,-0.122770527,0.053655629,-0.139930637,-0.107616639,-0.068360476,-0.023259754,0.001797937,-0.101425245,0.1362977,-0.052355467,0.074834314,-0.237574278,0.002397353,0.091787205,0.067419605,-0.060188907,-0.059644987,0.016751228,0.126661728,0.029701414,0.069482314,0.01347912,0.020871941,0.147845292,-0.124395998,-0.007063883,0.073181279,-0.071142216,-0.019021645,-0.006660797,0.001501852,0.034251528,-0.10489339,-0.004597711,0.042761549,0.111477411,0.014045416,-0.036551596,-0.035123561,-0.060617752,0.015694294,0.011182436,-0.041893015,0.00649486,0.046910631,0.024954502,0.020936799,0.004610391,0.014186634,-0.018679768,-0.014850514,0.006621036,-0.000241286,-0.005413392,0.030710524,0.00173726,0.022020693,-0.000127111,0.002274979,0.00045614
N,-0.409517379,0.227748762,0.486864796,0.018206339,-0.124383563,0.081056906,-0.02264716,-0.0517872,0.082947777,0.196017269,-0.019710919,0.040095199,0.08581121,0.026772567,-0.046908245,0.008874474,0.012669807,-0.066758235,0.022844362,0.049788463,-0.226006698,0.03155374,0.011435493,-0.064420705,-0.009120199,0.079420323,0.057530145,-0.142776822,-0.034971616,0.167559063,0.039424542,0.003665362,0.098197734,0.011836666,0.065845601,-0.019888407,0.210499754,-0.112244692,-0.085767605,-0.198819026,-0.094081735,0.021232543,0.051837542,-0.047251379,0.206693827,-0.088238634,-0.091892007,-0.068751015,0.097603705,-0.155939997,-0.038398994,-0.013107624,0.064839569,-0.175489766,0.085793463,0.053687964,-0.009061794,0.055472674,0.179819418,-0.069731355,0.00151133,-0.023782192,0.049518511,-0.03743625,0.006814437,-0.001243854,0.018811044,-0.044444204,-0.030753487,0.013661338,0.071205166,0.007178758,-0.016079912,0.010389026,-0.051501364,0.019247971,-0.015160359,0.016573515,-0.031456707,0.000368976
O,-0.440491137,0.224329582,0.517083035,0.055908339,-0.121597944,0.040845327,-0.064826943,0.021142598,0.088053286,0.152749865,0.023681006,0.020324454,0.096340011,-0.011961154,0.01459872,0.097680656,-0.049342668,-0.137076162,-0.110052661,-0.026209184,-0.227815417,0.021060228,-0.010593117,0.018329366,0.020714387,0.002556182,-0.029748951,0.032709599,-0.030216424,0.097509127,0.107192167,0.094920926,-0.001565178,-0.060447854,-0.044285469,-0.024885373,0.074923093,-0.041863152,-0.053451681,-0.097768199,-0.089682844,0.104024205,-0.045600965,0.038594533,-0.13819326,-0.061789193,0.0898051,-0.078410977,-0.002687941,0.035283157,0.089984639,-0.016071332,-0.034689704,0.051381102,-0.091405278,-0.065412898,0.153547912,-0.102329829,-0.125235446,0.151801651,0.031822113,0.109227232,-0.193447859,0.046534517,0.106497118,0.067616104,-0.057266452,0.013060926,-0.00102201,0.015485988,-0.074001684,0.022380131,0.048017901,0.016325317,0.13423293,-0.052238603,0.066161876,-0.041162949,0.026202913,-0.006534099
F,-0.409655392,0.28418113,0.368562883,0.139543572,-0.124359063,0.287880012,-0.111652054,0.197122813,-0.092580961,-0.235202339,0.087761678,-0.09988048,-0.045116433,-0.034686604,0.09217449,0.059967164,0.025014099,0.068354167,0.075778919,-0.024629905,0.029854412,-0.14612504,0.036333978,-0.020160428,-0.05995474,0.099915573,0.008036656,-0.10292265,-0.008619949,0.03131223,0.013214789,-0.060476495,0.102275076,0.049325463,0.08414619,0.025531078,0.040116748,-0.010623664,0.017375806,-0.041128889,0.040008795,-0.063038731,-0.019897225,0.020783211,0.120013633,-0.006287775,-0.072431902,0.117784584,-0.012107601,-0.058248217,-0.138302118,-0.098818165,-0.014714119,0.114184778,0.012159354,-0.009907856,-0.044784291,0.138335326,-0.160349648,0.169929685,0.002870315,0.056040796,0.112445278,0.162486698,0.067371658,0.052109634,-0.083646146,0.12387143,0.035177331,-0.025205293,-0.058836879,-0.009796337,0.041521132,-0.136161591,-0.02263268,0.021377978,0.002766265,0.018919304,0.004439896,-0.000845517
Na,-0.525680074,-0.103724275,0.11412984,0.301324403,0.175012237,-0.102605316,-0.112318329,0.013467921,0.033002117,0.176466464,0.018859753,-0.087923446,-0.182333768,0.017716199,-0.064974342,0.144489694,-0.008404671,-0.129347003,-0.024849547,-0.03374992,-0.040659969,0.01639304,-0.070145877,0.238702821,-0.074549963,0.243018343,-0.105021353,0.052931932,0.00619418,-0.058443198,0.072338581,-0.058512347,0.104197656,0.026971219,0.000803334,-0.080813332,-0.080624524,-0.013823412,0.02989843,0.064554326,-0.001462831,0.139507513,-0.18080309,0.105371975,-0.163936477,-0.145225697,-0.191295786,0.222439544,0.113985217,0.03434655,0.036459406,-0.043942808,0.001657502,-0.068431922,0.060213916,-0.049838078,-0.076613254,-0.012888355,0.04062999,-0.058238441,-0.015250678,-0.036686993,0.054689172,-0.004160744,-0.024377178,-0.008428961,0.043646352,0.032656206,0.041017963,-0.001166955,-0.015420621,-0.03841928,0.048784893,0.046013287,-0.019400355,-0.007126716,0.007017588,0.005304531,0.010031134,-0.004492379
Mg,-0.583419576,0.132249642,-0.179053628,0.268945093,-0.132567026,-0.045511005,-0.126980539,0.151424611,0.052158454,0.087826408,0.045284735,0.146096172,-0.152170702,0.01838067,-0.04084346,0.01031529,0.088349426,0.041932707,0.074426081,-0.117388725,0.094769136,-0.046855285,0.15046512,0.042187528,0.000414803,0.108153623,0.021805082,0.08527684,-0.102471225,0.107607229,0.018567904,-0.087483149,0.039345639,-0.054229195,-0.040762182,0.012166203,0.009486212,0.083130309,0.053007367,-0.05976262,0.079619691,-0.166681027,0.067923982,0.025662187,-0.014269116,0.05109438,0.039154127,-0.155780691,-0.014964578,-0.167609047,0.057069267,-0.219023794,-0.044286809,0.079757656,-0.000692568,-0.175807413,-0.057448271,0.047833715,0.043244441,-0.114548925,-0.086846691,0.044909135,-0.155142545,0.049492327,-0.032495517,-0.027978685,0.138107315,0.037798848,-0.05107796,0.038282357,-0.065736246,0.012419243,-0.026651099,0.090519612,-0.022622761,-0.049711776,0.000412753,0.003521085,-0.004896416,-0.001864905
